record_type,asset_id,timestamp_or_quote_date,source_type,vendor,manufacturer,model,state,priority,grid_island,voltage_v,phases,frequency_hz,power_kw,power_kw_max,kva,pf,current_l1_a,current_l2_a,current_l3_a,inrush_a,inrush_duration_s,startup_duration_s,standby_w,aux_w,duty_cycle_pct,restart_delay_s,remote_shed_interface,temperature_condition,derating_note,net_price_eur,vat_pct,freight_eur,installation_eur,commissioning_eur,annual_service_eur,critical_spares_eur,lead_time_weeks,warranty,source_document,source_url,notes
OEM_OR_MEASURE,EL-PLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OEM_OR_MEASURE,EL-EDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OEM_OR_MEASURE,EL-NET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OEM_OR_MEASURE,EL-SRV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OEM_OR_MEASURE,EL-BESS-AUX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OEM_OR_MEASURE,EL-IRR-P1,2026-09-18,RETAILER+PRODUCT_DATA,Tavolla,Grundfos,CR 10-6 A-A-A-E-HQQE 96500984,CANDIDATE,P1,WHEN_NEEDED,400,3,50,2.2,,,0.80-0.86,4.60,4.60,4.60,,,,,,,,,,,,,,,,,,3-5,,product listing / manufacturer data,https://www.tavolla.com/grundfos-96500984-cr-10-6-a-a-a-e-hqqe-pompa-centrifuga-verticale-multistadio-con-porte-di-aspirazione-e-scarico-sullo-stesso-livello-6-giranti/,Start current 840-920% rated; gross price EUR 1946.78 incl 22% VAT; VFD excluded; final Q/H and VFD behavior RFQ,
OEM_OR_MEASURE,EL-FERT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OEM_OR_MEASURE,EL-UV-W1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OEM_OR_MEASURE,EL-CR-A,2026-09-18,VENDOR_WEB,GGM Gastro,GGM Gastro,KDC800N,BENCHMARK_CANDIDATE,P1,YES,400,3,50,2.25,,,,4.2,4.2,4.2,,,,,,,,,,,5399.99,,,,,,,5-6,,vendor product page,https://www.ggmgastro.com/it-it-eur/unita-a-soffitto-refrigerante-tipo-monoblocco-tn-per-volumi-fino-a-50-0m3-grado-di-protezione-ip-20-per-it-kdc800n,"R290 0.15kg; Modbus/Bluetooth; 50m3@32C 31.3m3@43C; unit only, cold-room shell excluded; startup/LRA RFQ",
OEM_OR_MEASURE,EL-CR-B,2026-09-18,VENDOR_WEB,GGM Gastro,GGM Gastro,KDC600N,BENCHMARK_CANDIDATE,P1/P2,CONDITIONAL,400,3,50,1.48,,,,2.8,2.8,2.8,,,,,,,,,,,4899.99,,,,,,,5-6,,vendor product page,https://www.ggmgastro.com/it-it-eur/unita-a-soffitto-refrigerante-tipo-monoblocco-tn-per-volumi-fino-a-35-1m3-grado-di-protezione-ip-20-kdc600n,R290 0.15kg; Modbus/Bluetooth; 35.1m3@32C 21m3@43C; unit only; startup/LRA RFQ,
OEM_OR_MEASURE,EL-GH-ACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OEM_OR_MEASURE,EL-HAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OEM_OR_MEASURE,EL-ANIMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OEM_OR_MEASURE,EL-LIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OEM_OR_MEASURE,EL-PDC-1,2026-09-18,DATASHEET+MARKET,Senetic / market cross-check,Kensol,KHP-R290-22-3,CANDIDATE,,,400,3,50,,9,,,15.8,15.8,15.8,,,,,,,,,,,3616.74,,,,,,,,5+2 stated; Italy conditions verify,Kensol/Senetic datasheet + current market listing,https://www.senetic.de/product/KHP-R290-22-3,A7/W35 input 1.48-5.90kW; A2/W35 1.45-5.50kW; Italy market gross ref EUR4412.42; A-7/defrost/start behavior/service Italy still RFQ,
OEM_OR_MEASURE,EL-PDC-2,2026-09-18,DATASHEET+MARKET,Senetic / market cross-check,Kensol,KHP-R290-22-3,CANDIDATE,,,400,3,50,,9,,,15.8,15.8,15.8,,,,,,,,,,,3616.74,,,,,,,,5+2 stated; Italy conditions verify,Kensol/Senetic datasheet + current market listing,https://www.senetic.de/product/KHP-R290-22-3,A7/W35 input 1.48-5.90kW; A2/W35 1.45-5.50kW; Italy market gross ref EUR4412.42; A-7/defrost/start behavior/service Italy still RFQ,
